Sample_ID,Sample_Name,Fastq.Read.1.File,Fastq.Read.2.File,ML,TRT,Combos,Comment
139,812P,S139,812AP_S139_L001_R1_001.fastq,812AP_S139_L001_R2_001.fastq,PA4.19Ip,Inter,PA 4.19 Ip-PA 4.3 Ihed,idk if it is 812P
140,755P,S140,755P_2_S140_L001_R1_001.fastq,755P_2_S140_L001_R2_001.fastq,PA4.13Ip,Inter,PA 4.13 Ip-PA 4.3 Ihed,Duplicate?
141,358P,S141,358P_S141_L001_R1_001.fastq,358P_S141_L001_R2_001.fastq,PA4.16Ip,Alone,NA,
142,311P,S142,311P_S142_L001_R1_001.fastq,311P_S142_L001_R2_001.fastq,PA4.2Ip,Inter,PA 4.2 Ip-PA 4.3 Ihed,
143,419P,S143,419P_S143_L001_R1_001.fastq,419P_S143_L001_R2_001.fastq,PA4.13Ip,Alone,NA,
144,557P,S144,557P_S144_L001_R1_001.fastq,557P_S144_L001_R2_001.fastq,PA4.18Ip,Inter,PA 4.18 Ip-PA 4.3 Ihed,
145,349H,S145,349H_S145_L001_R1_001.fastq,349H_S145_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.19 Ip-PA 4.12 Ihed,
146,742H,S146,742H_S146_L001_R1_001.fastq,742H_S146_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.19 Ip-PA 4.15 Ihed,
147,661H,S147,661H_S147_L001_R1_001.fastq,661H_S147_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.2 Ip-PA 4.15 Ihed,
148,383AH,S148,383H_S148_L001_R1_001.fastq,383H_S148_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.17 Ip-PA 4.15 Ihed,idk if it is 383AH
149,143AH,S149,143AH_S149_L001_R1_001.fastq,143AH_S149_L001_R2_001.fastq,PA4.2Ihed,Inter,PA 4.18 Ip-PA 4.2 Ihed,
150,375AP,S150,375AP_S150_L001_R1_001.fastq,375AP_S150_L001_R2_001.fastq,PA4.16Ip,Inter,PA 4.16 Ip-PA 4.15 Ihed,
151,291P,S151,291P_S151_L001_R1_001.fastq,291P_S151_L001_R2_001.fastq,PA4.19Ip,Inter,PA 4.19 Ip-PA 4.12 Ihed,
152,583P,S152,583P_S152_L001_R1_001.fastq,583P_S152_L001_R2_001.fastq,PA4.15Ip,Inter,PA 4.15 Ip-PA 4.12 Ihed,
153,141AH,S153,141AH_S153_L001_R1_001.fastq,141AH_S153_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.18 Ip-PA 4.15 Ihed,
154,746P,S154,746P_S154_L001_R1_001.fastq,746P_S154_L001_R2_001.fastq,PA4.18Ip,Inter,PA 4.18 Ip-PA 4.12 Ihed,
155,420P,S155,420P_S155_L001_R1_001.fastq,420P_S155_L001_R2_001.fastq,PA4.13Ip,Inter,PA 4.13 Ip-PA 4.12 Ihed,
156,387H,S156,387H_S156_L001_R1_001.fastq,387H_S156_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.17 Ip-PA 4.12 Ihed,
157,43H,S157,43H_S157_L001_R1_001.fastq,43H_S157_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.16 Ip-PA 4.12 Ihed,
158,420H,S158,420H_S158_L001_R1_001.fastq,420H_S158_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.13 Ip-PA 4.12 Ihed,
159,453P,S159,453P_S159_L001_R1_001.fastq,453P_S159_L001_R2_001.fastq,PA4.11Ip,Inter,PA 4.11 Ip-PA 4.12 Ihed,
160,483P,S160,483P_S160_L001_R1_001.fastq,483P_S160_L001_R2_001.fastq,PA4.2Ip,Inter,PA 4.2 Ip-PA 4.12 Ihed,
161,463P,S161,463P_S161_L001_R1_001.fastq,463P_S161_L001_R2_001.fastq,PA4.11Ip,Inter,PA 4.11 Ip-PA 4.3 Ihed,
162,675AH,S162,675AH_S162_L001_R1_001.fastq,675AH_S162_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.19 Ip-PA 4.15 Ihed,
163,124P,S163,124P_S163_L001_R1_001.fastq,124P_S163_L001_R2_001.fastq,PA4.11Ip,Inter,PA 4.11 Ip-PA 4.12 Ihed,
164,602H,S164,602H_S164_L001_R1_001.fastq,602H_S164_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.19 Ip-PA 4.12 Ihed,
165,798P,S165,798P_S165_L001_R1_001.fastq,798P_S165_L001_R2_001.fastq,PA4.14Ip,Inter,PA 4.14 Ip-PA 4.3 Ihed,
166,272H,S166,272H_S166_L001_R1_001.fastq,272H_S166_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.16 Ip-PA 4.12 Ihed,
167,337AH,S167,337AH_S167_L001_R1_001.fastq,337AH_S167_L001_R2_001.fastq,PA4.2Ihed,Inter,PA 4.18 Ip-PA 4.2 Ihed,
168,383AH,S168,383AH_S168_L001_R1_001.fastq,383AH_S168_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.17 Ip-PA 4.15 Ihed,
169,768P,S169,768P_S169_L001_R1_001.fastq,768P_S169_L001_R2_001.fastq,PA4.16Ip,Alone,NA,
170,502P,S170,502P_S170_L001_R1_001.fastq,502P_S170_L001_R2_001.fastq,PA4.19Ip,Inter,PA 4.19 Ip-PA 4.2 Ihed,
