Species,Position,Block,Order,ML,UniqId,GerminationDate,Comment1,Dead_plant,DeathCause,RootsHarvested,SeedsCounted,Trt,Comp,Combos,Population,SeedNumber
Ip,380,2,380,PA4.16Ip,380Ip,43262,NA,NA,NA,N,Y,Inter,PA 4.3 Ihed,PA 4.16 Ip-PA 4.3 Ihed,PA4,51
Ip,381A,2,381,PA4.1Ip,381AIp,43262,NA,NA,NA,N,Y,Inter,PA 4.15 Ihed,PA 4.1 Ip-PA 4.15 Ihed,PA4,11
Ip,385,2,385,PA4.18Ip,385Ip,43262,NA,NA,NA,N,Y,Inter,PA 4.9 Ihed,PA 4.18 Ip-PA 4.9 Ihed,PA4,96
Ip,385A,2,385,PA4.1Ip,385AIp,43262,NA,NA,NA,N,Y,Inter,PA 4.2 Ihed,PA 4.1 Ip-PA 4.2 Ihed,PA4,88
Ip,387A,2,387,PA4.2Ip,387AIp,43262,NA,NA,NA,N,Y,Inter,PA 4.15 Ihed,PA 4.2 Ip-PA 4.15 Ihed,PA4,74
Ip,39,1,39,PA4.11Ip,39Ip,43262,NA,NA,NA,N,Y,Inter,PA 4.3 Ihed,PA 4.11 Ip-PA 4.3 Ihed,PA4,141
Ip,391A,2,391,PA4.11Ip,391AIp,43262,NA,NA,NA,N,Y,Inter,PA 4.2 Ihed,PA 4.11 Ip-PA 4.2 Ihed,PA4,81
Ip,392,2,392,PA4.15Ip,392Ip,43258,NA,NA,NA,N,Y,Inter,PA 4.9 Ihed,PA 4.15 Ip-PA 4.9 Ihed,PA4,200
Ip,393,2,393,PA4.13Ip,393Ip,43262,NA,NA,NA,N,Y,Inter,PA 4.9 Ihed,PA 4.13 Ip-PA 4.9 Ihed,PA4,160
Ip,393A,2,393,PA4.16Ip,393AIp,43262,NA,NA,NA,N,Y,Inter,PA 4.15 Ihed,PA 4.16 Ip-PA 4.15 Ihed,PA4,109
Ip,401,2,401,PA4.11Ip,401Ip,43262,NA,NA,NA,N,Y,Inter,PA 4.7 Ihed,PA 4.11 Ip-PA 4.7 Ihed,PA4,48
Ip,401A,2,401,PA4.14Ip,401AIp,43262,NA,NA,NA,N,Y,Inter,PA 4.15 Ihed,PA 4.14 Ip-PA 4.15 Ihed,PA4,49
Ip,403A,2,403,PA4.13Ip,403AIp,43262,NA,NA,NA,N,Y,Inter,PA 4.15 Ihed,PA 4.13 Ip-PA 4.15 Ihed,PA4,211
Ip,405A,2,405,PA4.11Ip,405AIp,43262,NA,NA,NA,N,Y,Inter,PA 4.2 Ihed,PA 4.11 Ip-PA 4.2 Ihed,PA4,59
Ip,406,2,406,PA4.18Ip,406Ip,43258,NA,NA,NA,N,Y,Inter,PA 4.7 Ihed,PA 4.18 Ip-PA 4.7 Ihed,PA4,126
Ip,408,2,408,PA4.11Ip,408Ip,43262,NA,NA,NA,N,Y,Inter,PA 4.12 Ihed,PA 4.11 Ip-PA 4.12 Ihed,PA4,86
Ip,41,1,41,PA4.17Ip,41Ip,43262,NA,NA,NA,N,Y,Inter,PA 4.7 Ihed,PA 4.17 Ip-PA 4.7 Ihed,PA4,104
Ip,410,2,410,PA4.11Ip,410Ip,43262,NA,NA,NA,N,Y,Inter,PA 4.7 Ihed,PA 4.11 Ip-PA 4.7 Ihed,PA4,88
Ip,411A,2,411,PA4.13Ip,411AIp,43262,NA,NA,NA,N,Y,Inter,PA 4.2 Ihed,PA 4.13 Ip-PA 4.2 Ihed,PA4,142
Ip,413A,2,413,PA4.14Ip,413AIp,43262,NA,NA,NA,N,Y,Inter,PA 4.15 Ihed,PA 4.14 Ip-PA 4.15 Ihed,PA4,51
Ip,421,2,421,PA4.18Ip,421Ip,43262,NA,NA,NA,N,Y,Inter,PA 4.3 Ihed,PA 4.18 Ip-PA 4.3 Ihed,PA4,193
Ip,423,2,423,PA4.11Ip,423Ip,43262,NA,NA,NA,N,Y,Inter,PA 4.12 Ihed,PA 4.11 Ip-PA 4.12 Ihed,PA4,91
Ip,425,2,425,PA4.11Ip,425Ip,43262,NA,NA,NA,N,Y,Alone,NA,NA,PA4,384
Ip,426,2,426,PA4.18Ip,426Ip,43258,NA,NA,NA,Y,Y,Inter,PA 4.7 Ihed,PA 4.18 Ip-PA 4.7 Ihed,PA4,85
Ip,427A,2,427,PA4.18Ip,427AIp,43262,NA,NA,NA,N,Y,Inter,PA 4.2 Ihed,PA 4.18 Ip-PA 4.2 Ihed,PA4,83
Ip,428,2,428,PA4.16Ip,428Ip,43262,NA,NA,NA,N,Y,Inter,PA 4.12 Ihed,PA 4.16 Ip-PA 4.12 Ihed,PA4,198
Ip,429,2,429,PA4.15Ip,429Ip,43262,NA,NA,NA,N,Y,Inter,PA 4.7 Ihed,PA 4.15 Ip-PA 4.7 Ihed,PA4,156
Ip,431A,2,431,PA4.17Ip,431AIp,43262,NA,NA,NA,N,Y,Inter,PA 4.2 Ihed,PA 4.17 Ip-PA 4.2 Ihed,PA4,248
Ip,434,2,434,PA4.13Ip,434Ip,43262,NA,NA,NA,N,Y,Inter,PA 4.12 Ihed,PA 4.13 Ip-PA 4.12 Ihed,PA4,13
Ip,435,2,435,PA4.15Ip,435Ip,43262,NA,NA,NA,Y,Y,Alone,NA,NA,PA4,47
Ip,435A,2,435,PA4.11Ip,435AIp,43262,NA,NA,NA,N,Y,Inter,PA 4.15 Ihed,PA 4.11 Ip-PA 4.15 Ihed,PA4,374
Ip,436,2,436,PA4.13Ip,436Ip,43262,NA,NA,NA,N,Y,Inter,PA 4.9 Ihed,PA 4.13 Ip-PA 4.9 Ihed,PA4,207
Ip,437A,2,437,PA4.13Ip,437AIp,43262,NA,NA,NA,N,Y,Inter,PA 4.2 Ihed,PA 4.13 Ip-PA 4.2 Ihed,PA4,27
Ip,44,1,44,PA4.14Ip,44Ip,43262,NA,NA,NA,N,Y,Alone,NA,NA,PA4,241
Ip,441,2,441,PA4.19Ip,441Ip,NA,DG,NA,NA,N,Y,Inter,PA 4.7 Ihed,PA 4.19 Ip-PA 4.7 Ihed,PA4,333
Ip,441A,2,441,PA4.19Ip,441AIp,43262,NA,NA,NA,N,Y,Inter,PA 4.2 Ihed,PA 4.19 Ip-PA 4.2 Ihed,PA4,107
Ip,445A,2,445,PA4.1Ip,445AIp,43262,NA,NA,NA,N,Y,Inter,PA 4.2 Ihed,PA 4.1 Ip-PA 4.2 Ihed,PA4,155
Ip,448,2,448,PA4.1Ip,448Ip,43262,NA,NA,NA,N,Y,Inter,PA 4.3 Ihed,PA 4.1 Ip-PA 4.3 Ihed,PA4,239
Ip,449,2,449,PA4.17Ip,449Ip,43262,NA,NA,NA,N,Y,Alone,NA,NA,PA4,193
