"Block","Order","Position","ML","Trt","Comp","Combos","Population","Species","Block.1","Leaf.Number","Comment","X","UniqId","GerminationDate","Comment1","Dead_plant","DeathCause","RootsHarvested","SeedsCounted","SeedNumber"
"2",305,"305","PA4.14Ip","Alone","NA","NA","PA4","Ip",2,11,"",88,"305Ip","43258.0",NA,NA,NA,"N","Y",1128
"2",306,"306","PA4.1Ip","Alone","NA","NA","PA4","Ip",2,16,"",89,"306Ip","43258.0",NA,NA,NA,"N","Y",596
"2",308,"308","PA4.16Ip","Inter","PA 4.3 Ihed","PA 4.16 Ip-PA 4.3 Ihed","PA4","Ip",2,5,"",90,"308Ip","43258.0",NA,NA,NA,"N","Y",577
"2",314,"314","PA4.14Ip","Inter","PA 4.3 Ihed","PA 4.14 Ip-PA 4.3 Ihed","PA4","Ip",2,5,"",93,"314Ip","43262.0",NA,NA,NA,"N","Y",84
"2",315,"315","PA4.15Ip","Inter","PA 4.3 Ihed","PA 4.15 Ip-PA 4.3 Ihed","PA4","Ip",2,9,"",94,"315Ip","43258.0",NA,NA,NA,"N","Y",149
"2",322,"322","PA4.14Ip","Inter","PA 4.9 Ihed","PA 4.14 Ip-PA 4.9 Ihed","PA4","Ip",2,9,"",95,"322Ip","43258.0",NA,NA,NA,"N","Y",324
"2",324,"324","PA4.18Ip","Alone","NA","NA","PA4","Ip",2,9,"",96,"324Ip","43258.0",NA,NA,NA,"N","Y",357
"2",328,"328","PA4.13Ip","Inter","PA 4.12 Ihed","PA 4.13 Ip-PA 4.12 Ihed","PA4","Ip",2,6,"",97,"328Ip","43258.0",NA,NA,NA,"N","Y",155
"2",329,"329","PA4.1Ip","Inter","PA 4.3 Ihed","PA 4.1 Ip-PA 4.3 Ihed","PA4","Ip",2,6,"",98,"329Ip","43258.0",NA,NA,NA,"N","Y",378
"2",330,"330","PA4.15Ip","Alone","NA","NA","PA4","Ip",2,6,"",99,"330Ip","43258.0",NA,NA,NA,"N","Y",444
"2",332,"332","PA4.17Ip","Inter","PA 4.9 Ihed","PA 4.17 Ip-PA 4.9 Ihed","PA4","Ip",2,8,"",100,"332Ip","43262.0",NA,NA,NA,"N","Y",207
"2",334,"334","PA4.2Ip","Inter","PA 4.7 Ihed","PA 4.2 Ip-PA 4.7 Ihed","PA4","Ip",2,12,"",101,"334Ip","43262.0",NA,NA,NA,"N","Y",139
"2",342,"342","PA4.2Ip","Inter","PA 4.3 Ihed","PA 4.2 Ip-PA 4.3 Ihed","PA4","Ip",2,8,"",104,"342Ip","43262.0",NA,NA,NA,"N","Y",340
"2",343,"343","PA4.19Ip","Inter","PA 4.12 Ihed","PA 4.19 Ip-PA 4.12 Ihed","PA4","Ip",2,7,"",105,"343Ip","43262.0",NA,NA,NA,"N","Y",180
"2",346,"346","PA4.11Ip","Inter","PA 4.9 Ihed","PA 4.11 Ip-PA 4.9 Ihed","PA4","Ip",2,6,"",106,"346Ip","43262.0",NA,NA,NA,"N","Y",116
"2",347,"347","PA4.11Ip","Alone","NA","NA","PA4","Ip",2,8,"",107,"347Ip","43262.0",NA,NA,NA,"N","Y",84
"2",349,"349","PA4.19Ip","Inter","PA 4.12 Ihed","PA 4.19 Ip-PA 4.12 Ihed","PA4","Ip",2,13,"",108,"349Ip","43262.0",NA,NA,NA,"N","Y",398
"2",349,"349A","PA4.15Ip","Inter","PA 4.15 Ihed","PA 4.15 Ip-PA 4.15 Ihed","PA4","Ip",2,12,"",109,"349AIp","43262.0",NA,NA,NA,"N","Y",481
"2",350,"350","PA4.13Ip","Alone","NA","NA","PA4","Ip",2,5,"",110,"350Ip","43262.0",NA,NA,NA,"N","Y",134
"2",351,"351","PA4.17Ip","Inter","PA 4.3 Ihed","PA 4.17 Ip-PA 4.3 Ihed","PA4","Ip",2,7,"",111,"351Ip","43258.0",NA,NA,NA,"N","Y",95
"2",352,"352","PA4.16Ip","Inter","PA 4.9 Ihed","PA 4.16 Ip-PA 4.9 Ihed","PA4","Ip",2,17,"",112,"352Ip","43258.0",NA,NA,NA,"N","Y",153
"2",353,"353","PA4.1Ip","Inter","PA 4.9 Ihed","PA 4.1 Ip-PA 4.9 Ihed","PA4","Ip",2,8,"",113,"353Ip","43262.0",NA,NA,NA,"N","Y",139
"2",355,"355","PA4.2Ip","Alone","NA","NA","PA4","Ip",2,7,"",114,"355Ip","43262.0",NA,NA,NA,"N","Y",119
"2",355,"355A","PA4.2Ip","Inter","PA 4.2 Ihed","PA 4.2 Ip-PA 4.2 Ihed","PA4","Ip",2,13,"",115,"355AIp","43262.0",NA,NA,NA,"N","Y",149
"2",359,"359A","PA4.2Ip","Inter","PA 4.2 Ihed","PA 4.2 Ip-PA 4.2 Ihed","PA4","Ip",2,6,"",116,"359AIp","43262.0",NA,NA,NA,"N","Y",121
"2",361,"361A","PA4.17Ip","Inter","PA 4.2 Ihed","PA 4.17 Ip-PA 4.2 Ihed","PA4","Ip",2,7,"",119,"361AIp","43262.0",NA,NA,NA,"N","Y",95
