Sample_ID,Fastq.Read.1.File,Fastq.Read.2.File,ML,TRT,Combos,Block,Comment
157P,157P_S184_L001_R1_001.fastq,157P_S184_L001_R2_001.fastq,PA4.17Ip,Inter,PA 4.17 Ip-PA 4.12 Ihed,1,
291H,291H_S185_L001_R1_001.fastq,291H_S185_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.19 Ip-PA 4.12 Ihed,2,
157H,157H_S186_L001_R1_001.fastq,157H_S186_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.17 Ip-PA 4.12 Ihed,1,
141AP,141AP_S187_L001_R1_001.fastq,141AP_S187_L001_R2_001.fastq,PA4.18Ip,Inter,PA 4.18 Ip-PA 4.15 Ihed,1,
151AH,151AH_S188_L001_R1_001.fastq,151AH_S188_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.2 Ip-PA 4.15 Ihed,1,
719AP,719AP_S189_L001_R1_001.fastq,719AP_S189_L001_R2_001.fastq,PA4.16Ip,Inter,PA 4.16 Ip-PA 4.2 Ihed,3,
699AP,699AP_S190_L001_R1_001.fastq,699AP_S190_L001_R2_001.fastq,PA4.13Ip,Inter,PA 4.13 Ip-PA 4.2 Ihed,3,
13H,,,,,none,#N/A,
13P,,,,,none,#N/A,
31H,,,,,none,#N/A,
383H,,,,,none,#N/A,
389H,,,,,none,#N/A,
389P,,,,,none,#N/A,
721H,,,,,none,#N/A,
812AP,,,,,none,#N/A,
